doc_type;invo_type;doc_number;product_id;invoice_date;invoice_due_date;qty;description;business_id;business_name;business_phone;business_email;business_address;business_country;client_id;first_name;last_name;email;client_address;client_country;currency;subtotal;iva;iva2;taxes;taxes2;other;discount;amount;payment_type;payment_method
Saliente;e-Ticket;2798;2798;22/10/20;22/10/20;12;cargos por compra;2,18E+11;BRUNATE S.A.;0;0;"ECHEVARRIARZA CRISTOBAL 3535 1504, MONTEVIDEO
26282524";Uruguay;0;CONSUMIDOR FINAL CAR;CONSUMIDOR FINAL CAR;0;MONTEVIDEO, ;URUGUAY;Pesos Uruguayos;11.987,09;0,22;0;2637,16;0;0;0;14624,25;0;0
Saliente;Factura Electrónica;1,00E+15;1,00E+15;24/4/22;0;1;membresia;3101716050;Seating and Services;40824145;;San José, San Sebastian de Repuestos Conejo 10 Metros Oeste;Costa Rica;801100138;DEYLIN YANELQUI SEVILLA SEVILLA;DEYLIN YANELQUI SEVILLA SEVILLA;dsevillas@gmail.com;Sabanilla Montes de Oca;Costa Rica;Colones;66.371,69;0;0;8628,36;0;0;0;75000,01;Contado;Tarjeta
Saliente;Factura Electrónica;1,00E+15;1,00E+15;24/4/22;0;1;membresia;3101716050;Seating and Services;40824145;ediaz@gmail.com;San José, San Sebastian de Repuestos Conejo 10 Metros Oeste;Costa Rica;111240589;Sergio;Morales;sergemr@gmail.com;Sabanilla Montes de Oca;Costa Rica;Colones;66.371,69;0;0;8628,36;0;0;0;75000,01;Contado;Tarjeta
Saliente;Factura Electrónica;1,00E+15;1,00E+15;24/4/22;0;1;membresia;3101716050;Seating and Services;40824145;ediaz@gmail.com;San José, San Sebastian de Repuestos Conejo 10 Metros Oeste;Costa Rica;111240589;Sergio;Morales;sergemr@gmail.com;Sabanilla Montes de Oca;Costa Rica;Colones;66.371,69;0;0;8628,36;0;0;0;75000,01;Contado;Tarjeta
Saliente;Factura Electrónica;1,00E+15;1,00E+15;24/4/22;0;1;membresia;3101716050;Seating and Services;40824145;ediaz@gmail.com;San José, San Sebastian de Repuestos Conejo 10 Metros Oeste;Costa Rica;111240589;Sergio;Morales;sergemr@gmail.com;Sabanilla Montes de Oca;Costa Rica;Colones;66.371,69;0;0;8628,36;0;0;0;75000,01;Contado;Tarjeta
Saliente;Factura Electrónica;1,00E+15;1,00E+15;24/4/22;0;1;membresia;3101716050;Seating and Services;40824145;ediaz@gmail.com;San José, San Sebastian de Repuestos Conejo 10 Metros Oeste;Costa Rica;111240589;Sergio;Morales;sergemr@gmail.com;Sabanilla Montes de Oca;Costa Rica;Colones;66.371,69;0;0;8628,36;0;0;0;75000,01;Contado;Tarjeta
Saliente;Factura Electrónica;1,00E+15;1,00E+15;24/4/22;0;1;membresia;3101716050;Seating and Services;40824145;ediaz@gmail.com;San José, San Sebastian de Repuestos Conejo 10 Metros Oeste;Costa Rica;111240589;Sergio;Morales;sergemr@gmail.com;Sabanilla Montes de Oca;Costa Rica;Colones;66.371,69;0;0;8628,36;0;0;0;75000,01;Contado;Tarjeta
Saliente;Factura Electrónica;1,00E+15;1,00E+15;24/4/22;0;1;membresia;3101716050;Seating and Services;40824145;ediaz@gmail.com;San José, San Sebastian de Repuestos Conejo 10 Metros Oeste;Costa Rica;111240589;Sergio;Morales;sergemr@gmail.com;Sabanilla Montes de Oca;Costa Rica;Colones;66.371,69;0;0;8628,36;0;0;0;75000,01;Contado;Tarjeta
Saliente;Factura Electrónica;1,00E+15;1,00E+15;24/4/22;0;1;membresia;3101716050;Seating and Services;40824145;ediaz@gmail.com;San José, San Sebastian de Repuestos Conejo 10 Metros Oeste;Costa Rica;111240589;Sergio;Morales;sergemr@gmail.com;Sabanilla Montes de Oca;Costa Rica;Colones;66.371,69;0;0;8628,36;0;0;0;75000,01;Contado;Tarjeta
Saliente;Factura Electrónica;1,00E+15;1,00E+15;24/4/22;0;1;membresia;3101716050;Seating and Services;40824145;ediaz@gmail.com;San José, San Sebastian de Repuestos Conejo 10 Metros Oeste;Costa Rica;111240589;Deylin Sevilla Sevilla;Sevilla Sevilla;sergemr@gmail.com;Sabanilla Montes de Oca;Costa Rica;Colones;66.371,69;0;0;8628,36;0;0;0;75000,01;Contado;Tarjeta
Saliente;Factura Electrónica;1,00E+15;1,00E+15;24/4/22;0;1;membresia;3101716050;Seating and Services;40824145;ediaz@gmail.com;San José, San Sebastian de Repuestos Conejo 10 Metros Oeste;Costa Rica;111240589;Deylin Sevilla Sevilla;Sevilla Sevilla;sergemr@gmail.com;Sabanilla Montes de Oca;Costa Rica;Colones;66.371,69;0;0;8628,36;0;0;0;75000,01;Contado;Tarjeta
Saliente;Factura Electrónica;1,00E+15;1,00E+15;24/4/22;0;1;membresia;3101716050;Seating and Services;40824145;ediaz@gmail.com;San José, San Sebastian de Repuestos Conejo 10 Metros Oeste;Costa Rica;111240589;Sergio;Morales;sergemr@gmail.com;Sabanilla Montes de Oca;Costa Rica;Colones;66.371,69;0;0;8628,36;0;0;0;75000,01;Contado;Tarjeta
Saliente;Factura;VF-21-1767;VF-21-1767;17/11/21;17/11/21;2;cargos por compra;B-41524117;ABD Informática SA;954932850;info@es.es;C/alberche 4A - 1 Dcha C.P.41005, Sevilla;España;X1070828V;Renato de Lauretiis;de Lauretiis;0;Traviesa Samoseira;España;0;124,35;0,21;0;26,11;0;0;0;150,46;Contado;Transferencia Bancaria
Saliente;Factura;AEU-SIM-INV-ES-2018-34584817;AEU-SIM-INV-ES-2018-34584817;23/8/18;0;1;compra articulos;IVA ESW0184081H;Amazon EU S.à r.l;0;0;Calle de Ramírez de Prado 5 28045 Madrid;España;0;RENATO DE LAURENTIIS;DE LAURENTIIS;0;"TRAVESIA DE SOMOSIERRA, 11 4B
TRES CANTOS, MADRID, 28760";España;Euros;65,9;0,21;0;13,71;0;0;0;79;0;0
Saliente;Factura Electrónica;1,00E+17;1,00E+17;23/1/22;0;1;un articulo;3-101-593961;ASSA Companía de Seguros S.A.;(506) 2503-2700;servicio@assanet.com / contacto@assanet.com;Parque Empresarial Fórum I, Edificio F, Santa Ana, San José,; Costa Rica;801100138;SEVILLA SEVILLA DEYLIN;SEVILLA SEVILLA;dsevilla@promerica.fi.cr;"50 METROS OESTE Y 25 METROS NORTE DE LA ENTRADA PRINCIPAL DEL COLEGIO CAMPESTRE CASA COLOR PAPAYA SABANILLA MONTES DE OCA SAN
JOSE. SAN JOSE. MONTES DE OCA. COS";Costa Rica;Colones;18.502,81;0,13;0;2405,37;0;0;0;20908,18;Contado;0
Saliente;Factura de billete;075-2379360223;075-2379360223;11/9/18;0;3;tiquete aereo;A85850394;IBERIA LAE SA Operadora Unipersonal;;0;"C/ Martínez Villergas, 49
28027 Madrid";España;B84857242;Centro de Encuentro BPM SL;Centro de Encuentro BPM SL;0;"Travesia de Somosierra, 11 4B
28760 Tres Cantos
28";España;Euros;627,21;0;0;0;0;0;0;627,21;0;0
Saliente;Factura de billete;1,00E+17;1,00E+17;5/2/21;13/2/21;31;membresia;3002087432;"ASOCIACION INSTITUTO DE NORMAS
TECNICAS DE COSTA RICA";"50622834522; 50689609696";facturas@inteco.org;"400 metros norte de Muñoz & 0ne.
Contiguo al Laboratorio de Materiales de la
Universidad de Costa Rica.
San Pedro , Montes de Oca , 1 San José";Costa Rica;801100138;DEYLIN YANELQUI SEVILLA SEVILLA;DEYLIN YANELQUI SEVILLA SEVILLA;dsevillas@gmail.com;San José, Montes de Oca, Sabanilla;Costa Rica;Colones;39.650,00;0,13;0;5154,5;0;0;0;44804,5;8 días;Transferencia – depósito bancario
Saliente;Factura Electrónica;1,00E+17;1,00E+17;14/3/22;0;1;cargos por compra;3-007-042032-12;JUNTA ADMINISTRATIVA DE LA IMPRENTA NACIONAL;8000 GACETA (8000-422382);servicioclientesfi0ciero@imprenta.go.cr;"Dirección: La Uruca, San José, Costa Rica
100 metros sur y 50 metros oeste de la gasolinera UNO";Costa Rica;801100138;DEYLIN YANELQUI SEVILLA SEVILLA;DEYLIN YANELQUI SEVILLA SEVILLA;dsevillas@gmail.com;;0;Colones;3.990,00;0,13;0;518,7;0;0;0;4528,7;Contado;Tarjeta
Saliente;"COMPROBANTE ELECTRONICO
ORIGINAL";1664146;1664146;6/11/20;0;1;compra articulos;2,14E+11;Arredo S.A.;0;0;"Dr.Aquiles Lanza 1261
- Montevideo";Uruguay;45203796;María Fer0da Rivero Tierno;Rivero Tierno;0;"Ramon Anador 3233
11600 - Montevideo
Montevideo";Urugya;Pesos Uruguayos;0;0;0;0;0;0;0;735;0;0
Saliente;Tiquete;2,00E+17;2,00E+17;6/8/21;0;21;un articulo;3002045363;ASEMECO;"25221000; 22554947";0;Calle Central y Primera - Avenidas 14 y 16 - ▪ Apartado 1307-1000 San José, ;Costa Rica;C02812394;"ZELEDON GONZALEZ
JONATHAN APOLINAR";"ZELEDON GONZALEZ
JONATHAN APOLINAR";dsevillas@gmail.com;;0;COLONES;47.595,00;4;0;1903;0;0;0;49498,8;TIQUETE DE CONTADO;0
Saliente;Factura Electrónica;1,00E+17;1,00E+17;12/3/22;0;21;tiquete aereo;3101708068;Ke0pau S.A;2225-9597;facturacion@clinicaesbelt.com;San José, Goicoechea, GUADALUPE, De la Escuela Pilar Jimenez, 150 mts Norte.;Costa Rica;801100138;DEYLIN SEVILLA SEVILLA;SEVILLA SEVILLA;0;0;0;Colones;42.445,00;0;0;1697,8;0;0;0;42445;0;"Tarjeta
Manual"
Saliente;Factura Electrónica;2,90E+17;2,90E+17;0/1/00;0;21;membresia;4-000-042139;INSTITUTO COSTARRICENSE DE ELECTRICIDAD;0;0;0;Costa Rica;8-0110-0138;SEVILLA SEVILLA DEYLIN YANIELQ;SEVILLA SEVILLA;0;"GUADALUPE EL ALTO DEL HOSP
JERUSALEM 25";0;COLONES;11.471,29;0;0;0;0;13156,28;0;19197,95;0;0
Saliente;e-Ticket;2798;2798;22/10/20;22/10/20;12;cargos por compra;2,18E+11;BRUNATE S.A.;0;0;"ECHEVARRIARZA CRISTOBAL 3535 1504, MONTEVIDEO
26282524";Uruguay;0;CONSUMIDOR FINAL CAR;CONSUMIDOR FINAL CAR;0;MONTEVIDEO, ;URUGUAY;Pesos Uruguayos;11.987,09;0,22;0;2637,16;0;0;0;14624,25;0;0
Saliente;Factura Electrónica;1,00E+15;1,00E+15;24/4/22;0;1;membresia;3101716050;Seating and Services;40824145;;San José, San Sebastian de Repuestos Conejo 10 Metros Oeste;Costa Rica;801100138;DEYLIN YANELQUI SEVILLA SEVILLA;DEYLIN YANELQUI SEVILLA SEVILLA;dsevillas@gmail.com;Sabanilla Montes de Oca;Costa Rica;Colones;66.371,69;0;0;8628,36;0;0;0;75000,01;Contado;Tarjeta
Saliente;Factura Electrónica;1,00E+15;1,00E+15;24/4/22;0;1;membresia;3101716050;Seating and Services;40824145;ediaz@gmail.com;San José, San Sebastian de Repuestos Conejo 10 Metros Oeste;Costa Rica;111240589;Sergio;Morales;sergemr@gmail.com;Sabanilla Montes de Oca;Costa Rica;Colones;66.371,69;0;0;8628,36;0;0;0;75000,01;Contado;Tarjeta
Saliente;Factura Electrónica;1,00E+15;1,00E+15;24/4/22;0;1;membresia;3101716050;Seating and Services;40824145;ediaz@gmail.com;San José, San Sebastian de Repuestos Conejo 10 Metros Oeste;Costa Rica;111240589;Sergio;Morales;sergemr@gmail.com;Sabanilla Montes de Oca;Costa Rica;Colones;66.371,69;0;0;8628,36;0;0;0;75000,01;Contado;Tarjeta
Saliente;Factura Electrónica;1,00E+15;1,00E+15;24/4/22;0;1;membresia;3101716050;Seating and Services;40824145;ediaz@gmail.com;San José, San Sebastian de Repuestos Conejo 10 Metros Oeste;Costa Rica;111240589;Sergio;Morales;sergemr@gmail.com;Sabanilla Montes de Oca;Costa Rica;Colones;66.371,69;0;0;8628,36;0;0;0;75000,01;Contado;Tarjeta
Saliente;Factura Electrónica;1,00E+15;1,00E+15;24/4/22;0;1;membresia;3101716050;Seating and Services;40824145;ediaz@gmail.com;San José, San Sebastian de Repuestos Conejo 10 Metros Oeste;Costa Rica;111240589;Sergio;Morales;sergemr@gmail.com;Sabanilla Montes de Oca;Costa Rica;Colones;66.371,69;0;0;8628,36;0;0;0;75000,01;Contado;Tarjeta
Saliente;Factura Electrónica;1,00E+15;1,00E+15;24/4/22;0;1;membresia;3101716050;Seating and Services;40824145;ediaz@gmail.com;San José, San Sebastian de Repuestos Conejo 10 Metros Oeste;Costa Rica;111240589;Sergio;Morales;sergemr@gmail.com;Sabanilla Montes de Oca;Costa Rica;Colones;66.371,69;0;0;8628,36;0;0;0;75000,01;Contado;Tarjeta
Saliente;Factura Electrónica;1,00E+15;1,00E+15;24/4/22;0;1;membresia;3101716050;Seating and Services;40824145;ediaz@gmail.com;San José, San Sebastian de Repuestos Conejo 10 Metros Oeste;Costa Rica;111240589;Sergio;Morales;sergemr@gmail.com;Sabanilla Montes de Oca;Costa Rica;Colones;66.371,69;0;0;8628,36;0;0;0;75000,01;Contado;Tarjeta
Saliente;Factura Electrónica;1,00E+15;1,00E+15;24/4/22;0;1;membresia;3101716050;Seating and Services;40824145;ediaz@gmail.com;San José, San Sebastian de Repuestos Conejo 10 Metros Oeste;Costa Rica;111240589;Sergio;Morales;sergemr@gmail.com;Sabanilla Montes de Oca;Costa Rica;Colones;66.371,69;0;0;8628,36;0;0;0;75000,01;Contado;Tarjeta
Saliente;Factura Electrónica;1,00E+15;1,00E+15;24/4/22;0;1;membresia;3101716050;Seating and Services;40824145;ediaz@gmail.com;San José, San Sebastian de Repuestos Conejo 10 Metros Oeste;Costa Rica;111240589;Deylin Sevilla Sevilla;Sevilla Sevilla;sergemr@gmail.com;Sabanilla Montes de Oca;Costa Rica;Colones;66.371,69;0;0;8628,36;0;0;0;75000,01;Contado;Tarjeta
Saliente;Factura Electrónica;1,00E+15;1,00E+15;24/4/22;0;1;membresia;3101716050;Seating and Services;40824145;ediaz@gmail.com;San José, San Sebastian de Repuestos Conejo 10 Metros Oeste;Costa Rica;111240589;Deylin Sevilla Sevilla;Sevilla Sevilla;sergemr@gmail.com;Sabanilla Montes de Oca;Costa Rica;Colones;66.371,69;0;0;8628,36;0;0;0;75000,01;Contado;Tarjeta
Entrante;Orden Servicios;36239634;133;10/09/1982;10/09/1982;9;servicios profesionales;888-545474;Logistics and distribution manager;40824145;email@example.com;West Alexander;usa;0;Carmen Nixon;Todd Anderson;marvinjackson@example.com;283 Wendy Common;USA;usd;14,57;0;0;0;0;0;0;14,57;credito;banco
Entrante;Orden Servicios;2820163;155;03/10/2012;03/10/2012;5;servicios profesionales;888-545474;Osteopath;40824145;email@example.com;Andreamouth;usa;0;Mrs. Heather Miller;Julia Moore;jeffrey84@example.net;13567 Patricia Circles Apt. 751;USA;usd;65,48;0;0;0;0;0;0;65,48;credito;banco
Entrante;Orden Servicios;27006726;151;23/03/1976;23/03/1976;9;servicios profesionales;888-545474;Economist;40824145;email@example.com;Coxbury;usa;0;Crystal May;Philip Moody;ugoodman@example.com;6389 Debbie Island Suite 470;USA;usd;24,66;0;0;0;0;0;0;24,66;credito;banco
Entrante;Orden Servicios;83036521;143;17/08/1986;17/08/1986;4;servicios profesionales;888-545474;Sports administrator;40824145;email@example.com;Ninaland;usa;0;Bobby Weber;Mark Scott;ssanchez@example.com;6362 Ashley Plaza Apt. 994;USA;usd;21,34;0;0;0;0;0;0;21,34;credito;banco
Entrante;Orden Servicios;80142652;168;11/06/1996;11/06/1996;2;servicios profesionales;888-545474;Chief Marketing Officer;40824145;email@example.com;Isaiahview;usa;0;Kristen Welch;David David;cynthia66@example.net;463 Steven Cliffs Suite 757;USA;usd;83,9;0;0;0;0;0;0;83,9;credito;banco
Entrante;Orden Servicios;53234087;192;01/09/2016;01/09/2016;6;servicios profesionales;888-545474;Therapist, sports;40824145;email@example.com;Millsside;usa;0;Jamie Garcia;Jonathan Tate;luis57@example.net;54443 Kyle Haven Apt. 230;USA;usd;55,67;0;0;0;0;0;0;55,67;credito;banco
Entrante;Orden Servicios;30928602;153;17/04/1993;17/04/1993;4;servicios profesionales;888-545474;Special educational needs teacher;40824145;email@example.com;Port Susan;usa;0;Amanda Hicks;Stephanie Huff;hendersontracey@example.org;5600 Hannah Vista;USA;usd;77,57;0;0;0;0;0;0;77,57;credito;banco
Entrante;Orden Servicios;45734816;107;27/09/1986;27/09/1986;3;servicios profesionales;888-545474;Textile designer;40824145;email@example.com;New Heatherfort;usa;0;James Parker;Dustin Hanson Jr.;ffowler@example.net;9076 Garrett Well;USA;usd;86,5;0;0;0;0;0;0;86,5;credito;banco
Entrante;Orden Servicios;13834685;149;01/11/1997;01/11/1997;1;servicios profesionales;888-545474;Psychiatrist;40824145;email@example.com;South Kim;usa;0;Susan Smith;Michael Campbell;thomaspatricia@example.net;1684 John Circles;USA;usd;53,73;0;0;0;0;0;0;53,73;credito;banco
Entrante;Orden Servicios;92548268;108;23/03/1994;23/03/1994;5;servicios profesionales;888-545474;Radio broadcast assistant;40824145;email@example.com;West Patricia;usa;0;Kylie Campos;Samantha Mendez;danny61@example.com;15898 Jeanne Inlet Suite 973;USA;usd;91,71;0;0;0;0;0;0;91,71;credito;banco
Entrante;Orden Servicios;63931341;104;12/12/1992;12/12/1992;5;servicios profesionales;888-545474;Surveyor, land/geomatics;40824145;email@example.com;Williamsborough;usa;0;Zachary Medina;Brendan Chambers;zreed@example.com;79633 Golden Mountains Suite 172;USA;usd;13;0;0;0;0;0;0;13;credito;banco
Entrante;Orden Servicios;6666309;173;07/01/2020;07/01/2020;1;servicios profesionales;888-545474;Therapist, speech and language;40824145;email@example.com;New Christianfurt;usa;0;Jill Villanueva;Jonathan Caldwell;christopherorozco@example.org;59120 Hayes Expressway;USA;usd;10,71;0;0;0;0;0;0;10,71;credito;banco
Entrante;Orden Servicios;99504946;132;14/06/2019;14/06/2019;7;servicios profesionales;888-545474;Graphic designer;40824145;email@example.com;Franklinburgh;usa;0;Anthony Jennings;Luis Braun;christopher64@example.net;931 Ronald Cape Suite 627;USA;usd;26,25;0;0;0;0;0;0;26,25;credito;banco
Entrante;Orden Servicios;21249600;140;15/03/2010;15/03/2010;5;servicios profesionales;888-545474;Chiropractor;40824145;email@example.com;Hatfieldfurt;usa;0;Steven Hubbard;Justin Rosales;robertgardner@example.com;399 Robert Orchard Suite 518;USA;usd;33,19;0;0;0;0;0;0;33,19;credito;banco
Entrante;Orden Servicios;47746923;183;26/06/2002;26/06/2002;7;servicios profesionales;888-545474;Print production planner;40824145;email@example.com;New Cherylchester;usa;0;Adam Fischer;Thomas Hudson;juarezstephanie@example.net;071 Wells Valley;USA;usd;26,32;0;0;0;0;0;0;26,32;credito;banco
Entrante;Orden Servicios;20484989;108;20/08/2009;20/08/2009;7;servicios profesionales;888-545474;Commercial/residential surveyor;40824145;email@example.com;Lake Joshuamouth;usa;0;Joseph Grant;Joshua Walters;craig44@example.org;89873 Wheeler Dale Suite 550;USA;usd;6,59;0;0;0;0;0;0;6,59;credito;banco
Entrante;Orden Servicios;35270416;196;31/03/1997;31/03/1997;8;servicios profesionales;888-545474;Pharmacist, hospital;40824145;email@example.com;Wigginsport;usa;0;Mitchell Raymond;Dalton Peck;zlarsen@example.com;7519 Robbins Forest;USA;usd;46,3;0;0;0;0;0;0;46,3;credito;banco
Entrante;Orden Servicios;1290400;133;15/08/1982;15/08/1982;8;servicios profesionales;888-545474;Research officer, trade union;40824145;email@example.com;Port Russell;usa;0;Clayton Duncan;Joseph Wood;tgraves@example.net;73351 Benson Views Suite 424;USA;usd;26,84;0;0;0;0;0;0;26,84;credito;banco
Entrante;Orden Servicios;6481407;150;30/09/1996;30/09/1996;1;servicios profesionales;888-545474;Social research officer, government;40824145;email@example.com;East Juan;usa;0;Eric Miller;Victoria Salas;jrivas@example.com;6924 Jeff Spurs Suite 172;USA;usd;48,57;0;0;0;0;0;0;48,57;credito;banco
Entrante;Orden Servicios;82560621;127;21/06/2010;21/06/2010;1;servicios profesionales;888-545474;Buyer, retail;40824145;email@example.com;Noahstad;usa;0;Barbara Johnston;Lindsey Davidson;daniellebecker@example.net;1397 Barrera Garden Apt. 755;USA;usd;46,38;0;0;0;0;0;0;46,38;credito;banco
Entrante;Orden Servicios;92318137;118;27/01/1983;27/01/1983;3;servicios profesionales;888-545474;Paramedic;40824145;email@example.com;Bridgethaven;usa;0;Stacie Rosales;Dennis Richardson;theresa74@example.net;622 Alvarado Corners Suite 762;USA;usd;70,1;0;0;0;0;0;0;70,1;credito;banco
Entrante;Orden Servicios;95596877;103;05/03/2000;05/03/2000;4;servicios profesionales;888-545474;Environmental manager;40824145;email@example.com;West Kathryn;usa;0;Daniel Robinson;Anthony Morrow;brichardson@example.org;73246 Chase Streets;USA;usd;10,92;0;0;0;0;0;0;10,92;credito;banco
Entrante;Orden Servicios;54751453;137;28/02/2000;28/02/2000;7;servicios profesionales;888-545474;Make;40824145;email@example.com;New Anna;usa;0;Peter Bentley;Benjamin Chang;jamie82@example.com;6656 Alexis Lock Suite 344;USA;usd;77,79;0;0;0;0;0;0;77,79;credito;banco
Entrante;Orden Servicios;29738748;185;15/06/2018;15/06/2018;1;servicios profesionales;888-545474;Producer, radio;40824145;email@example.com;Burgessstad;usa;0;Jennifer Leblanc;Cathy Salazar;meganhubbard@example.com;30262 Patterson Mall;USA;usd;45,92;0;0;0;0;0;0;45,92;credito;banco
Entrante;Orden Servicios;58560372;152;25/05/1981;25/05/1981;7;servicios profesionales;888-545474;Arboriculturist;40824145;email@example.com;New Charleshaven;usa;0;Heather Solomon;Michael Russell;crystalgrant@example.com;49673 Salinas Square;USA;usd;18,74;0;0;0;0;0;0;18,74;credito;banco
Entrante;Orden Servicios;94859461;164;23/06/1984;23/06/1984;6;servicios profesionales;888-545474;Amenity horticulturist;40824145;email@example.com;Jenniferstad;usa;0;Troy Brown;Angela Hoffman;lnunez@example.com;52410 Andrade Fields;USA;usd;74,53;0;0;0;0;0;0;74,53;credito;banco
Entrante;Orden Servicios;71802916;177;07/05/2002;07/05/2002;8;servicios profesionales;888-545474;Nurse, adult;40824145;email@example.com;Gabrielaberg;usa;0;Malik Rodriguez;Kelly Leach;vcook@example.com;666 Lowe Square;USA;usd;96,91;0;0;0;0;0;0;96,91;credito;banco
